Year	Date	DayPart	ExactTime	Order	EventID	Track	Origin	Title	Event	Characters	Teams	Groups	Scope	Location	Arc	Continuity	DateCertainty	Reference	SupportingSources	Review
0	22.01	evening		700	V10-000009-C	T9LM	P	Кіта ввечері сам удома	Увечері після формування команди Кіта лишається вдома сам і плаче.	Kita Hayashi			character		Team Formation	main	inherited_v9	Team Formation		
0	23.01	unknown		100	V10-000010	NARUTO	M	Prologue — Land of Waves	arc 01 [Prologue — Land of Waves] — Kakashi administers the bell test; Naruto attacks openly and is caught by repeated traps; Sasuke briefly reaches a bell; Sakura is defeated by genjutsu; Kakashi ties Naruto to a post and forbids the others to feed him; Sasuke and Sakura share their food with Naruto, proving teamwork, so Kakashi passes them as Team 7.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team;location	Land of Waves	Prologue — Land of Waves	main	inherited_v9	Prologue — Land of Waves	A [еп. 4–5] — повна аніме-версія тесту з дзвіночками та першого уроку командної роботи.	supporting-source-migrated;daypart
0	23.01	unknown		200	V10-000011	NARUTO	R	перед тестом Какаші згадує відхилені ним попередні команди, відвідує Меморіальний…	F [Shippūden еп. 361; ретроспектива] — перед тестом Какаші згадує відхилені ним попередні команди, відвідує Меморіальний камінь і за порадою Тензо вирішує перевірити, чи здатні Наруто, Саске й Сакура поставити товаришів вище за наказ.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake			character			main	inherited_v9	Shippūden еп. 361; ретроспектива		daypart
0	23.01	unknown		300	V10-000012	T9LM	P	Райдо веде Команду 9 на Поле 8	Райдо приводить Команду 9 на Тренувальне поле 8, де вже працюють Куренай і Команда 8; трійця лишається на краю поля, не отримавши прямого пояснення завдання.	Raido Namiashi;Kurenai Yuhi;Kita Hayashi;Ren Tetsu;Sora Yamano;Hinata Hyuga;Kiba Inuzuka;Akamaru;Shino Aburame	Team 8;Team 9		character;team		Field 8 Observation Test	main	inherited_v9	Field 8 Observation Test		daypart
0	23.01	unknown		400	V10-000012-B	T9LM	P	Команда 9 спостерігає за Командою 8	Сора починає системно спостерігати за Командою 8; Кіта й Рен приєднуються. Спостереження триває приблизно годину.	Kita Hayashi;Ren Tetsu;Sora Yamano;Hinata Hyuga;Kiba Inuzuka;Akamaru;Shino Aburame;Kurenai Yuhi;Raido Namiashi	Team 8;Team 9		character;team		Field 8 Observation Test	main	inherited_v9	Field 8 Observation Test		daypart
0	23.01	unknown		500	V10-000012-C	T9LM	P	Сора викриває Райдо	Сора кидає камінець у приховану позицію Райдо й викриває його. Райдо хвалить Команду 9 за спостереження та збір інформації.	Raido Namiashi;Kita Hayashi;Ren Tetsu;Sora Yamano	Team 9		character;team		Field 8 Observation Test	main	inherited_v9	Field 8 Observation Test		daypart
0	24.01	unknown		100	V10-000013	NARUTO	O	Конохамару просить Наруто знайти в забороненій Акаґахарі багряний чотирилистий…	O [OVA «Find the Four-Leaf Red Clover!»; після еп. 5] — Конохамару просить Наруто знайти в забороненій Акаґахарі багряний чотирилистий клевер, щоб загадати бажання й не розлучатися з Йошіно Каеде; після пасток старого полігону Саске й Сакура допомагають їм відбитися від маріонет, а Конохамару віддає клевер Каеде.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Konohamaru Sarutobi			character;location	Konohagakure		main	inherited_v9	OVA «Find the Four-Leaf Red Clover!»; після еп. 5		daypart
0	25.01	unknown		100	V10-000014	NARUTO	R	Команда 7 виконує доручення Некоба: зібрати останній відбиток лапи для…	F [Shippūden еп. 189; ретроспектива, реконструйоване раннє вікно] — Команда 7 виконує доручення Некоба: зібрати останній відбиток лапи для «Енциклопедії котячих лап»; Наруто, Сакура й Саске проникають у володіння велетенського кота Некомати та здобувають відбиток.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team			main	derived	Shippūden еп. 189; ретроспектива, реконструйоване раннє вікно		daypart
0	26.01	unknown		100	V10-000015	NARUTO	R	молодий генін Наруто знаходить записку з ім’ям Кісуке, зустрічає його привида й…	F [Shippūden еп. 193; ретроспектива, реконструйоване раннє вікно] — молодий генін Наруто знаходить записку з ім’ям Кісуке, зустрічає його привида й допомагає викрити шпигуна, причетного до смерті Кісуке та зникнення відомостей із Конохи.	Naruto Uzumaki			character;location	Konohagakure		main	derived	Shippūden еп. 193; ретроспектива, реконструйоване раннє вікно		daypart
0	27.01	unknown		100	V10-000016	NARUTO	R	під час повернення викраденого скарбу Наруто й Саске опиняються зв’язаними…	F [Shippūden еп. 194; ретроспектива, реконструйоване раннє вікно] — під час повернення викраденого скарбу Наруто й Саске опиняються зв’язаними павутиною та змушені діяти як у «перегонах на трьох ногах», щоб урятувати полонену Сакуру.	Naruto Uzumaki;Sasuke Uchiha			character			main	derived	Shippūden еп. 194; ретроспектива, реконструйоване раннє вікно		daypart
0	28.01	unknown		100	V10-000017	NARUTO	R	Команди 7 і 10 спільно визволяють заручника	F [Shippūden еп. 195; ретроспектива, реконструйоване раннє вікно] — Команди 7 і 10 спільно визволяють заручника; колишній розбійник Тофу зраджує їх, Шікамару міняє себе на полоненого, а обидві команди перемагають банду завдяки взаємодії.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake;Ino Yamanaka;Shikamaru Nara;Choji Akimichi;Asuma Sarutobi	Team 7;Team 10		character;team			main	derived	Shippūden еп. 195; ретроспектива, реконструйоване раннє вікно		daypart
0	29.01	unknown		100	V10-000018	NARUTO	R	Команда 10 рятує Косуке	F [Shippūden еп. 239; ретроспектива, реконструйоване раннє вікно] — Команда 10 рятує Косуке; ветеран упізнає в Іно, Шікамару й Чоджі наступне покоління зв’язки Іно–Шіка–Чо та згадує бойову злагодженість їхніх батьків.	Ino Yamanaka;Choji Akimichi;Shikamaru Nara;Asuma Sarutobi	Team 10	Ino–Shika–Cho	character;team;group			main	derived	Shippūden еп. 239; ретроспектива, реконструйоване раннє вікно		daypart
0	01.02	unknown		100	V10-000019	NARUTO	G	Команда 7 починає серію створених для гри завдань у Конохі	G/ALT [Naruto: Konoha Ninpōchō; реконструйоване вікно до місії Тадзуни] — Команда 7 починає серію створених для гри завдань у Конохі; ця гілка не замінює манґа-канон і розглядається як паралельна.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team;location	Konohagakure		alt	derived	Naruto: Konoha Ninpōchō; реконструйоване вікно до місії Тадзуни		daypart
0	02.02	unknown		100	V10-000020	NARUTO	G	під час додаткових місій Мідзукі тікає з-під варти	G/ALT [Konoha Ninpōchō] — під час додаткових місій Мідзукі тікає з-під варти; Наруто, Саске й Сакура беруть участь у переслідуванні та зривають його новий задум.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno			character;location	Konohagakure		alt	inherited_v9	Konoha Ninpōchō		daypart
0	03.02	unknown		100	V10-000021	NARUTO	G	Команда 7 проходить наступні самостійні ігрові місії, що розширюють проміжок між…	G/ALT [Konoha Ninpōchō] — Команда 7 проходить наступні самостійні ігрові місії, що розширюють проміжок між тестом Какаші та Країною Хвиль.	Kakashi Hatake;Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno	Team 7		character;team;location	Konohagakure		alt	inherited_v9	Konoha Ninpōchō		daypart
0	04.02	night		100	V10-000022	NARUTO	G	оригінальна ігрова гілка завершується поверненням команди до звичайних D-рангових…	G/ALT [Konoha Ninpōchō] — оригінальна ігрова гілка завершується поверненням команди до звичайних D-рангових завдань; точних канонічних дат гра не дає.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team;location	Konohagakure		alt	inherited_v9	Konoha Ninpōchō		
0	15.03	unknown		100	V10-000023	NARUTO	M	після серії D-рангів, зокрема прополювання поля, прибирання сміття з річки…	M [гл. 9; реконструйований початок подорожі] — після серії D-рангів, зокрема прополювання поля, прибирання сміття з річки, вигулу собак і затримання кота Тори, Наруто вимагає складнішої роботи; Хірузен доручає Команді 7 супровід мостобудівника Тадзуни до Країни Хвиль; команда виходить із Конохи.	Naruto Uzumaki;Hiruzen Sarutobi;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team;location	Konohagakure;Land of Waves		main	derived	гл. 9; реконструйований початок подорожі		daypart
0	15.03	unknown		200	V10-000024	NARUTO	A	аніме розширює побутові D-ранги й початок першої C-рангової місії.	A [еп. 6] — аніме розширює побутові D-ранги й початок першої C-рангової місії.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team			main	inherited_v9	еп. 6	N [Innocent Heart, Demonic Blood] — новелізація починає паралельний переказ місії Тадзуни; окремої другої місії не створює.	supporting-source-migrated;daypart
0	16.03	unknown		100	V10-000025	NARUTO	M	на шляху до кордону Брати-Демони атакують Тадзуну	M/A [реконструйований мінімальний час дороги] — на шляху до кордону Брати-Демони атакують Тадзуну; Какаші й Саске нейтралізують їх, а Наруто, принижений власним заціпенінням, проколює отруєну руку й клянеться більше не тікати; Тадзуна визнає, що через Ґато місія фактично значно небезпечніша за заявлений C-ранг, але команда продовжує шлях.	Naruto Uzumaki;Sasuke Uchiha;Kakashi Hatake;Tazuna			character			main	derived	реконструйований мінімальний час дороги	N [Innocent Heart, Demonic Blood] — новельна версія цієї частини місії.	supporting-source-migrated;daypart
0	17.03	unknown		100	V10-000026	NARUTO	M	Команда 7 дістається узбережжя, пересідає до човна й під покровом туману та без…	M/A [реконструйований мінімальний час дороги] — Команда 7 дістається узбережжя, пересідає до човна й під покровом туману та без мотора перетинає воду; Тадзуна пояснює владу Ґато над Країною Хвиль; група висаджується й продовжує шлях до його дому.	Tazuna;Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team			main	derived	реконструйований мінімальний час дороги	N [Innocent Heart, Demonic Blood] — новельна версія прибуття до Країни Хвиль.	supporting-source-migrated;daypart
0	18.03	unknown		100	V10-000027	NARUTO	M	Забуза атакує	M [arc 01] — Забуза атакує; Какаші відкриває Шарінґан, але потрапляє у Водяну В’язницю; спільний трюк Наруто й Саске зі сюрикенами звільняє його; Какаші перемагає Забузу, та Хаку під виглядом мисливця-нін забирає непритомного напарника; після бою Какаші падає від виснаження.	Naruto Uzumaki;Sasuke Uchiha;Kakashi Hatake;Zabuza Momochi;Haku			character			main	inherited_v9	arc 01	A [еп. 7–9] — перший бій із Забузою. || N [Innocent Heart, Demonic Blood] — новельна версія бою.	supporting-source-migrated;daypart
0	22.03	unknown		100	V10-000028	NARUTO	M	Kakashi concludes Haku staged Zabuza's death and prepares Team 7 for a rematch	M [arc 01, Prologue — Land of Waves] — Kakashi concludes Haku staged Zabuza's death and prepares Team 7 for a rematch; Tazuna explains Gato's rule and how Kaiza's execution broke Inari's courage; Naruto, Sasuke, and Sakura begin tree-climbing chakra-control training.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake;Zabuza Momochi;Haku;Tazuna;Inari	Team 7		character;team;location	Land of Waves		main	inherited_v9	arc 01, Prologue — Land of Waves	A [еп. 10–11] — відновлення Какаші, історія Кайзи й тренування ходіння по деревах. || N [Innocent Heart, Demonic Blood] — новельний переказ відновлення Какаші, історії Кайзи та початку тренування.	supporting-source-migrated;daypart
0	28.03	morning		100	V10-000029	NARUTO	M	на шостий ранок тренування Наруто зустрічає Хаку, який збирає лікарські рослини	M [arc 01] — на шостий ранок тренування Наруто зустрічає Хаку, який збирає лікарські рослини; не впізнавши ворога, слухає його думку про силу заради дорогої людини.	Naruto Uzumaki;Haku			character			main	inherited_v9	arc 01	A [еп. 11–12] — зустріч Наруто з Хаку. || N [Innocent Heart, Demonic Blood] — новельна версія розмови.	supporting-source-migrated
0	29.03	unknown		100	V10-000030	NARUTO	M	Наруто й Саске завершують вправу з ходіння по деревах	M [arc 01] — Наруто й Саске завершують вправу з ходіння по деревах; Наруто непритомніє від перевтоми, а решта групи виходить із Тадзуною.	Naruto Uzumaki;Sasuke Uchiha			character			main	inherited_v9	arc 01	A [еп. 12] — завершення тренування. || N [Innocent Heart, Demonic Blood] — новельна версія підготовки до мосту.	supporting-source-migrated;daypart
0	30.03	unknown		100	V10-000031	NARUTO	M	Забуза й Хаку атакують на мосту	M [arc 01] — Забуза й Хаку атакують на мосту; Саске пробуджує Шарінґан і прикриває Наруто; Наруто вивільняє чакру Дев’ятихвостого; Хаку жертвує собою, Забуза вбиває Ґато й помирає поруч із Хаку; жителі проганяють найманців.	Naruto Uzumaki;Sasuke Uchiha;Zabuza Momochi;Haku			character			main	inherited_v9	arc 01	A [еп. 12–19] — розширена екранна версія битви. || N [Innocent Heart, Demonic Blood] — новельний переказ фінального бою та смерті Хаку й Забузи.	supporting-source-migrated;daypart
0	30.03	unknown		200	V10-000032	NARUTO	M	люди Ґато нападають на будинок Тадзуни й намагаються викрасти Цунамі	M [arc 01, паралельно фінальній битві] — люди Ґато нападають на будинок Тадзуни й намагаються викрасти Цунамі; Інарі долає страх і стає на її захист, Наруто повертається та рятує їх; після загибелі Ґато Інарі приводить мешканців Країни Хвиль на міст, а Забузу й Хаку ховають поруч на височині над країною.	Naruto Uzumaki;Haku;Inari;Tsunami			character;location	Land of Waves		main	inherited_v9	arc 01, паралельно фінальній битві		daypart
0	13.04	unknown		100	V10-000033	NARUTO	M	міст завершено й названо Великим Мостом Наруто	M [гл. 33; через два тижні після битви] — міст завершено й названо Великим Мостом Наруто; Команда 7 прощається з родиною Тадзуни та повертається до Конохи.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team;location	Konohagakure		main	inherited_v9	гл. 33; через два тижні після битви	A [еп. 19] — відкриття мосту й повернення. || N [Innocent Heart, Demonic Blood] — завершення новелізації місії; окремої паралельної події після цього не виникає.	supporting-source-migrated;daypart
0	13.04	unknown		200	V10-000034	NARUTO	R	одразу після прощання Наруто повертається по забутий купон на рамен, Саске йде за…	F [Shippūden еп. 180; ретроспектива] — одразу після прощання Наруто повертається по забутий купон на рамен, Саске йде за ним; вони допомагають Інарі та дітям протистояти залишкам людей Ґато й беруть нападників у полон.	Naruto Uzumaki;Sasuke Uchiha;Inari			character			main	inherited_v9	Shippūden еп. 180; ретроспектива		daypart
0	13.04	unknown		300	V10-000035	NARUTO	R	після повернення Команди 7 з Країни Хвиль Наруто дорікає Саске за зверхність	F [Shippūden еп. 258; ретроспектива] — після повернення Команди 7 з Країни Хвиль Наруто дорікає Саске за зверхність; Саске відповідає, що вважає себе кращим лише за Наруто, і пропонує йому стати сильнішим, якщо той хоче звести рахунки.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team;location	Land of Waves		main	inherited_v9	Shippūden еп. 258; ретроспектива		daypart
0	14.04	unknown		100	V10-000036	NARUTO	O	Команда 7 виконує окрему місію після повернення з Країни Хвиль	O/ALT [OVA «Naruto: The Cross Roads»; реконструйоване вікно після Країни Хвиль] — Команда 7 виконує окрему місію після повернення з Країни Хвиль; суперництво Наруто й Саске порушує злагодженість, але під керівництвом Какаші команда відновлює взаємодію та доводить завдання до кінця. Спецвипуск не має надійної точної дати.	Naruto Uzumaki;Sasuke Uchiha;Kakashi Hatake;Sakura Haruno	Team 7		character;team;location	Land of Waves		alt	derived	OVA «Naruto: The Cross Roads»; реконструйоване вікно після Країни Хвиль		daypart
0	15.04	unknown		100	V10-000037	NARUTO	R	Команда 7 супроводжує додому страуса Кондора	F [Shippūden еп. 181; ретроспектива, реконструйоване вікно між Країною Хвиль та іспитом] — Команда 7 супроводжує додому страуса Кондора; дорогою Наруто втручається у давню помсту Цукадо проти Катадзу й Каґекі та допомагає припинити ворожнечу, перш ніж групу атакує банда Канабун.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		global;character;team			main	derived	Shippūden еп. 181; ретроспектива, реконструйоване вікно між Країною Хвиль та іспитом		daypart
0	16.04	unknown		100	V10-000038	NARUTO	R	Наруто й Тентен супроводжують Лі до могили майстра Чена	F [Shippūden еп. 312; ретроспектива, реконструйоване вікно] — Наруто й Тентен супроводжують Лі до могили майстра Чена; Чен виявляється живим і випробовує Лі, а наполегливість учня приводить до створення власної відповіді на техніку «Дракон Конохи».	Naruto Uzumaki;Rock Lee;Tenten			character;location	Konohagakure		main	derived	Shippūden еп. 312; ретроспектива, реконструйоване вікно		daypart
0	24.06	unknown		100	V10-000039	NARUTO	M	Chunin Exams	arc 02 [Chunin Exams] — The Sand siblings and other foreign genin arrive in Konoha; Konohamaru's group collides with Kankuro, bringing Team 7 into contact with Temari and Gaara; Rock Lee challenges Sasuke and demonstrates superior taijutsu before Guy stops him; Hiruzen briefs the jonin about the Chunin Exams; Kakashi, Asuma, and Kurenai nominate Teams 7, 10, and 8 despite Iruka's objection; Kakashi privately confirms Team 7 will enter by its own choice.	Sasuke Uchiha;Kakashi Hatake;Hiruzen Sarutobi;Gaara;Temari;Kankuro;Rock Lee;Might Guy;Asuma Sarutobi;Kurenai Yuhi;Iruka Umino;Konohamaru Sarutobi;Naruto Uzumaki;Sakura Haruno	Team 7		global;character;team;location	Konohagakure	Chunin Exams	main	inherited_v9	Chunin Exams	A [еп. 20–23] — повернення Команди 7, висунення на іспит, знайомство з командами Суни, Звуку та іншими учасниками.	supporting-source-migrated;daypart
0	01.07	unknown		100	V10-000040	NARUTO	M	Команди збираються на перший етап	Команда 7 прибуває на іспит і зустрічає Команди 8 та 10; Кабуто показує картки з інформацією про суперників, після чого команда Звуку атакує його.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kabuto Yakushi;Kakashi Hatake;Hinata Hyuga;Kiba Inuzuka;Akamaru;Shino Aburame;Kurenai Yuhi;Ino Yamanaka;Shikamaru Nara;Choji Akimichi;Asuma Sarutobi	Team 7;Team 8;Team 10		global;character;team			main	exact	arc 02, Chunin Exams	A [еп. 24–30] — письмове випробування, початок етапу в Лісі Смерті та напад Орочімару.	supporting-source-migrated;daypart
0	01.07	unknown		200	V10-000040-B	NARUTO	M	Письмовий етап Ібікі	Ібікі проводить письмове випробування, побудоване навколо прихованого збору інформації. Наруто відмовляється здаватися на десятому питанні й підштовхує решту кандидатів залишитися; проходять 26 команд.	Naruto Uzumaki			character			main	exact	arc 02, Chunin Exams	A [еп. 24–30] — письмове випробування, початок етапу в Лісі Смерті та напад Орочімару.	supporting-source-migrated;daypart
0	01.07	afternoon	14:32	300	V10-000040-C	NARUTO	M	Початок Лісу Смерті	Анко переводить кандидатів до Лісу Смерті. О 14:32 починається п’ятиденний етап із двома сувоями.	Anko Mitarashi			character;location	Forest of Death		main	exact	arc 02, Chunin Exams	A [еп. 24–30] — письмове випробування, початок етапу в Лісі Смерті та напад Орочімару.	supporting-source-migrated
0	01.07	afternoon		400	V10-000040-D	NARUTO	M	Орочімару атакує Команду 7	Орочімару, замаскований під геніна Трави Шіоре, розділяє Команду 7 й атакує. Наруто використовує чакру Дев’ятихвостого, після чого Орочімару накладає на нього Печатку П’яти Стихій.	Naruto Uzumaki;Orochimaru;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team			main	exact	arc 02, Chunin Exams	A [еп. 24–30] — письмове випробування, початок етапу в Лісі Смерті та напад Орочімару.	supporting-source-migrated
0	01.07	afternoon		500	V10-000040-E	NARUTO	M	Саске чинить опір Орочімару	Саске переборює страх, зв’язує Орочімару дротом і застосовує Вогняний стиль: Техніку Драконячого Полум’я; Орочімару у відповідь ставить йому Прокляту Печатку Неба.	Sasuke Uchiha;Orochimaru;Naruto Uzumaki;Sakura Haruno;Kakashi Hatake	Team 7		character;team			main	exact	arc 02, Chunin Exams	A [еп. 24–30] — письмове випробування, початок етапу в Лісі Смерті та напад Орочімару.	supporting-source-migrated
0	01.07	unknown		600	V10-000040-F	NARUTO	M	Анко стикається з Орочімару	Анко впізнає слід Орочімару через убиту команду генінів Трави й вступає з ним у сутичку, але не може зупинити його.	Anko Mitarashi;Orochimaru			character			main	exact	arc 02, Chunin Exams	A [еп. 24–30] — письмове випробування, початок етапу в Лісі Смерті та напад Орочімару.	supporting-source-migrated;daypart
0	01.07	afternoon		700	V10-000040-G	NARUTO	M	Команда Ґаари першою дістається вежі	Ґаара вбиває Команду Шіґуре; команда Суни здобуває потрібний сувій і дістається вежі за рекордний час.	Gaara;Temari;Kankuro	Sand Siblings		character;team			main	exact	arc 02, Chunin Exams	A [еп. 24–30] — письмове випробування, початок етапу в Лісі Смерті та напад Орочімару.	supporting-source-migrated
0	01.07	unknown		800	V10-000041	NARUTO	F	Конохамару, Моегі й Удон готують репортаж про іспит	F [еп. 26, спеціальний репортаж] — Конохамару, Моегі й Удон готують репортаж про іспит; основа серії є рекапом і не створює окремої сюжетної доби.	Konohamaru Sarutobi			global;character;location	Konohagakure		main	inherited_v9	еп. 26, спеціальний репортаж		daypart
0	02.07	night		100	V10-000042	NARUTO	M	Сакура охороняє Наруто й Саске	Сакура всю ніч охороняє непритомних Наруто й Саске після нападу Орочімару.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team		Chunin Exams	main	inherited_v9	Chunin Exams	A [еп. 31–36] — Сакура захищає непритомних товаришів; Лі та Команда 10 вступають у бій; Саске пробуджується з Проклятою Печаткою.	supporting-source-migrated
0	02.07	dawn		200	V10-000042-B	NARUTO	M	Команда Досу атакує на світанку	На світанку Команда Досу атакує Сакуру. Рок Лі втручається, але звукова атака Досу його перемагає.	Sakura Haruno;Rock Lee;Dosu;Zaku			character		Chunin Exams	main	inherited_v9	Chunin Exams	A [еп. 31–36] — Сакура захищає непритомних товаришів; Лі та Команда 10 вступають у бій; Саске пробуджується з Проклятою Печаткою.	supporting-source-migrated
0	02.07	morning		300	V10-000042-C	NARUTO	M	Сакура продовжує бій	Сакура обрізає волосся, щоб вирватися з захвату Кін, і продовжує битися попри поранення; Команда 10 приходить їй на допомогу.	Sakura Haruno;Ino Yamanaka;Shikamaru Nara;Choji Akimichi;Asuma Sarutobi	Team 10		character;team		Chunin Exams	main	inherited_v9	Chunin Exams	A [еп. 31–36] — Сакура захищає непритомних товаришів; Лі та Команда 10 вступають у бій; Саске пробуджується з Проклятою Печаткою.	supporting-source-migrated
0	02.07	morning		400	V10-000042-D	NARUTO	M	Саске пробуджується під Проклятою Печаткою	Саске прокидається під впливом Проклятої Печатки, ламає руки Заку й лякає союзників і ворогів. Сакура обіймає його, і це допомагає придушити печатку.	Sasuke Uchiha;Sakura Haruno;Zaku;Naruto Uzumaki;Kakashi Hatake	Team 7		character;team		Chunin Exams	main	inherited_v9	Chunin Exams	A [еп. 31–36] — Сакура захищає непритомних товаришів; Лі та Команда 10 вступають у бій; Саске пробуджується з Проклятою Печаткою.	supporting-source-migrated
