Year	Date	World	NARUTO	T9LM
0	23.01		arc 01 [Prologue — Land of Waves] — Kakashi administers the bell test; Naruto attacks openly and is caught by repeated traps; Sasuke briefly reaches a bell; Sakura is defeated by genjutsu; Kakashi ties Naruto to a post and forbids the others to feed him; Sasuke and Sakura share their food with Naruto, proving teamwork, so Kakashi passes them as Team 7. | A [еп. 4–5] — повна аніме-версія тесту з дзвіночками та першого уроку командної роботи. • F [Shippūden еп. 361; ретроспектива] — перед тестом Какаші згадує відхилені ним попередні команди, відвідує Меморіальний камінь і за порадою Тензо вирішує перевірити, чи здатні Наруто, Саске й Сакура поставити товаришів вище за наказ.	arc 02 [Field 8 Observation Test] — Raido assigns Team 9 to Training Field 8, already occupied by Kurenai and Team 8; Team 9 remains at the edge of the field, initially unsure of the situation; Sora begins observing Team 8 and Kita and Ren join in; after roughly an hour Sora throws a stone at the concealed Raido and exposes his position; Raido praises their observation and information-gathering.
0	24.01		O [OVA «Find the Four-Leaf Red Clover!»; після еп. 5] — Конохамару просить Наруто знайти в забороненій Акаґахарі багряний чотирилистий клевер, щоб загадати бажання й не розлучатися з Йошіно Каеде; після пасток старого полігону Саске й Сакура допомагають їм відбитися від маріонет, а Конохамару віддає клевер Каеде.	
0	25.01		F [Shippūden еп. 189; ретроспектива, реконструйоване раннє вікно] — Команда 7 виконує доручення Некоба: зібрати останній відбиток лапи для «Енциклопедії котячих лап»; Наруто, Сакура й Саске проникають у володіння велетенського кота Некомати та здобувають відбиток.	
0	26.01		F [Shippūden еп. 193; ретроспектива, реконструйоване раннє вікно] — молодий генін Наруто знаходить записку з ім’ям Кісуке, зустрічає його привида й допомагає викрити шпигуна, причетного до смерті Кісуке та зникнення відомостей із Конохи.	
0	27.01		F [Shippūden еп. 194; ретроспектива, реконструйоване раннє вікно] — під час повернення викраденого скарбу Наруто й Саске опиняються зв’язаними павутиною та змушені діяти як у «перегонах на трьох ногах», щоб урятувати полонену Сакуру.	
0	28.01		F [Shippūden еп. 195; ретроспектива, реконструйоване раннє вікно] — Команди 7 і 10 спільно визволяють заручника; колишній розбійник Тофу зраджує їх, Шікамару міняє себе на полоненого, а обидві команди перемагають банду завдяки взаємодії.	
0	29.01		F [Shippūden еп. 239; ретроспектива, реконструйоване раннє вікно] — Команда 10 рятує Косуке; ветеран упізнає в Іно, Шікамару й Чоджі наступне покоління зв’язки Іно–Шіка–Чо та згадує бойову злагодженість їхніх батьків.	
0	30.01			
0	31.01			
0	01.02		G/ALT [Naruto: Konoha Ninpōchō; реконструйоване вікно до місії Тадзуни] — Команда 7 починає серію створених для гри завдань у Конохі; ця гілка не замінює манґа-канон і розглядається як паралельна.	
0	02.02		G/ALT [Konoha Ninpōchō] — під час додаткових місій Мідзукі тікає з-під варти; Наруто, Саске й Сакура беруть участь у переслідуванні та зривають його новий задум.	
0	03.02		G/ALT [Konoha Ninpōchō] — Команда 7 проходить наступні самостійні ігрові місії, що розширюють проміжок між тестом Какаші та Країною Хвиль.	
0	04.02		G/ALT [Konoha Ninpōchō] — оригінальна ігрова гілка завершується поверненням команди до звичайних D-рангових завдань; точних канонічних дат гра не дає.	
0	05.02			
0	06.02			
0	07.02			
0	08.02			
0	09.02			
0	10.02			
0	11.02			
0	12.02			
0	13.02			
0	14.02			
0	15.02			
0	16.02			
0	17.02			
0	18.02			
0	19.02			
0	20.02			
0	21.02			
0	22.02			
0	23.02			
0	24.02			
0	25.02			
0	26.02			
0	27.02			
0	28.02			
0	01.03			
0	02.03			
0	03.03			
0	04.03			
0	05.03			
0	06.03			
0	07.03			
0	08.03			
0	09.03			
0	10.03			
0	11.03			
0	12.03			
0	13.03			
0	14.03			
0	15.03		M [гл. 9; реконструйований початок подорожі] — після серії D-рангів, зокрема прополювання поля, прибирання сміття з річки, вигулу собак і затримання кота Тори, Наруто вимагає складнішої роботи; Хірузен доручає Команді 7 супровід мостобудівника Тадзуни до Країни Хвиль; команда виходить із Конохи. • A [еп. 6] — аніме розширює побутові D-ранги й початок першої C-рангової місії. • N [Innocent Heart, Demonic Blood] — новелізація починає паралельний переказ місії Тадзуни; окремої другої місії не створює.	
0	16.03		M/A [реконструйований мінімальний час дороги] — на шляху до кордону Брати-Демони атакують Тадзуну; Какаші й Саске нейтралізують їх, а Наруто, принижений власним заціпенінням, проколює отруєну руку й клянеться більше не тікати; Тадзуна визнає, що через Ґато місія фактично значно небезпечніша за заявлений C-ранг, але команда продовжує шлях. • N [Innocent Heart, Demonic Blood] — новельна версія цієї частини місії.	
0	17.03		M/A [реконструйований мінімальний час дороги] — Команда 7 дістається узбережжя, пересідає до човна й під покровом туману та без мотора перетинає воду; Тадзуна пояснює владу Ґато над Країною Хвиль; група висаджується й продовжує шлях до його дому. • N [Innocent Heart, Demonic Blood] — новельна версія прибуття до Країни Хвиль.	
0	18.03		M [arc 01] — Забуза атакує; Какаші відкриває Шарінґан, але потрапляє у Водяну В’язницю; спільний трюк Наруто й Саске зі сюрикенами звільняє його; Какаші перемагає Забузу, та Хаку під виглядом мисливця-нін забирає непритомного напарника; після бою Какаші падає від виснаження. • A [еп. 7–9] — перший бій із Забузою. • N [Innocent Heart, Demonic Blood] — новельна версія бою.	
0	19.03			
0	20.03			
0	21.03			
0	22.03		M [arc 01, Prologue — Land of Waves] — Kakashi concludes Haku staged Zabuza's death and prepares Team 7 for a rematch; Tazuna explains Gato's rule and how Kaiza's execution broke Inari's courage; Naruto, Sasuke, and Sakura begin tree-climbing chakra-control training. • A [еп. 10–11] — відновлення Какаші, історія Кайзи й тренування ходіння по деревах. • N [Innocent Heart, Demonic Blood] — новельний переказ відновлення Какаші, історії Кайзи та початку тренування.	
0	23.03			
0	24.03			
0	25.03			
0	26.03			
0	27.03			
0	28.03		M [arc 01] — на шостий ранок тренування Наруто зустрічає Хаку, який збирає лікарські рослини; не впізнавши ворога, слухає його думку про силу заради дорогої людини. • A [еп. 11–12] — зустріч Наруто з Хаку. • N [Innocent Heart, Demonic Blood] — новельна версія розмови.	
0	29.03		M [arc 01] — Наруто й Саске завершують вправу з ходіння по деревах; Наруто непритомніє від перевтоми, а решта групи виходить із Тадзуною. • A [еп. 12] — завершення тренування. • N [Innocent Heart, Demonic Blood] — новельна версія підготовки до мосту.	
0	30.03		M [arc 01] — Забуза й Хаку атакують на мосту; Саске пробуджує Шарінґан і прикриває Наруто; Наруто вивільняє чакру Дев’ятихвостого; Хаку жертвує собою, Забуза вбиває Ґато й помирає поруч із Хаку; жителі проганяють найманців. • A [еп. 12–19] — розширена екранна версія битви. • N [Innocent Heart, Demonic Blood] — новельний переказ фінального бою та смерті Хаку й Забузи.	
0	31.03			
0	01.04			
0	02.04			
0	03.04			
0	04.04			
0	05.04			
0	06.04		M [arc 01] — міст завершено й названо Великим Мостом Наруто; Команда 7 прощається з родиною Тадзуни та повертається до Конохи. • A [еп. 19] — відкриття мосту й повернення. • N [Innocent Heart, Demonic Blood] — завершення новелізації місії; окремої паралельної події після цього не виникає. • F [Shippūden еп. 180; ретроспектива] — одразу після прощання Наруто повертається по забутий купон на рамен, Саске йде за ним; вони допомагають Інарі та дітям протистояти залишкам людей Ґато й беруть нападників у полон.	
0	07.04			
0	08.04		O/ALT [OVA «Naruto: The Cross Roads»; реконструйоване вікно після Країни Хвиль] — Команда 7 виконує окрему місію після повернення з Країни Хвиль; суперництво Наруто й Саске порушує злагодженість, але під керівництвом Какаші команда відновлює взаємодію та доводить завдання до кінця. Спецвипуск не має надійної точної дати.	
0	09.04		F [Shippūden еп. 181; ретроспектива, реконструйоване вікно між Країною Хвиль та іспитом] — Команда 7 супроводжує додому страуса Кондора; дорогою Наруто втручається у давню помсту Цукадо проти Катадзу й Каґекі та допомагає припинити ворожнечу, перш ніж групу атакує банда Канабун.	
0	10.04		F [Shippūden еп. 312; ретроспектива, реконструйоване вікно] — Наруто й Тентен супроводжують Лі до могили майстра Чена; Чен виявляється живим і випробовує Лі, а наполегливість учня приводить до створення власної відповіді на техніку «Дракон Конохи».	
0	11.04			
0	12.04			
0	13.04			
0	14.04			
0	15.04			
0	16.04			
0	17.04			
0	18.04			
0	19.04			
0	20.04			
0	21.04			
0	22.04			
0	23.04			
0	24.04			
0	25.04			
0	26.04			
0	27.04			
0	28.04			
0	29.04			
0	30.04			
0	01.05			
0	02.05			
0	03.05			
0	04.05			
0	05.05			
0	06.05			
0	07.05			
0	08.05			
0	09.05			
0	10.05			
0	11.05			
0	12.05			
0	13.05			
0	14.05			
0	15.05			
0	16.05			
0	17.05			
0	18.05			
0	19.05			
0	20.05			
0	21.05			
0	22.05			
0	23.05			
0	24.05			
0	25.05			
0	26.05			
0	27.05			
0	28.05			
0	29.05			
0	30.05			
0	31.05			
0	01.06			
0	02.06			
0	03.06			
0	04.06			
0	05.06			
0	06.06			
0	07.06			
0	08.06			
0	09.06			
0	10.06			
0	11.06			
0	12.06			
0	13.06			
0	14.06			
0	15.06			
0	16.06			
0	17.06			
0	18.06			
0	19.06			
0	20.06			
0	21.06			
0	22.06			
0	23.06			
0	24.06		arc 02 [Chunin Exams] — The Sand siblings and other foreign genin arrive in Konoha; Konohamaru's group collides with Kankuro, bringing Team 7 into contact with Temari and Gaara; Rock Lee challenges Sasuke and demonstrates superior taijutsu before Guy stops him; Hiruzen briefs the jonin about the Chunin Exams; Kakashi, Asuma, and Kurenai nominate Teams 7, 10, and 8 despite Iruka's objection; Kakashi privately confirms Team 7 will enter by its own choice. | A [еп. 20–23] — повернення Команди 7, висунення на іспит, знайомство з командами Суни, Звуку та іншими учасниками.	
0	25.06			
0	26.06			
0	27.06			
0	28.06			
0	29.06			
0	30.06		arc 02 [Chunin Exams] — By this date Orochimaru and the Sound Four have killed Rasa and his guards; Orochimaru assumes the Fourth Kazekage's identity to direct the Sand–Sound invasion plan. | A [еп. 67–68, ретроспектива] — підготовка змови Орочімару й убивство Четвертого Казекаґе показані пізніше як передумова вторгнення.	
0	01.07		M [arc 02, Chunin Exams] — Team 7 enters the exam building and reunites with Teams 8 and 10; Kabuto displays intelligence cards on rival candidates; the Sound team attacks Kabuto; Ibiki conducts the written test, which evaluates covert information gathering; Naruto refuses to quit when offered the tenth question and inspires the remaining candidates to stay, so 26 teams pass; Anko immediately moves them to the Forest of Death; at 14:32 the five-day scroll test begins; Orochimaru, disguised as Grass genin Shiore, separates Team 7 and attacks; Naruto uses Nine-Tails chakra against Orochimaru, who applies the Five Elements Seal; Sasuke overcomes his fear, binds Orochimaru with wire and uses Fire Release: Dragon Fire Technique before Orochimaru marks him with the Cursed Seal of Heaven; Anko identifies Orochimaru through the murdered Grass team and confronts him but cannot stop him; Gaara kills Team Shigure and his team reaches the tower in record time. • A [еп. 24–30] — письмове випробування, початок етапу в Лісі Смерті та напад Орочімару. • F [еп. 26, спеціальний репортаж] — Конохамару, Моегі й Удон готують репортаж про іспит; основа серії є рекапом і не створює окремої сюжетної доби.	
0	02.07		arc 02 [Chunin Exams] — Sakura guards the unconscious Naruto and Sasuke through the night; Team Dosu attacks at dawn; Rock Lee intervenes but is defeated by Dosu's sound attack; Sakura cuts her hair to escape Kin and fights despite her injuries; Team 10 joins the battle; Sasuke awakens under the curse mark, breaks Zaku's arms, and terrifies both allies and enemies until Sakura embraces him and suppresses the seal; Team Dosu leaves its scroll and retreats; Anko reports Orochimaru's infiltration to Hiruzen, who refuses to halt the exam. | A [еп. 31–36] — Сакура захищає непритомних товаришів; Лі та Команда 10 вступають у бій; Саске пробуджується з Проклятою Печаткою.	
0	03.07			
0	04.07			
0	05.07		M [arc 02] — Team 7 resumes its search for the missing scroll after three days of recovery. • M [пізніший флешбек, гл. 482] — відділений від товаришів Саске зустрічає Карін і рятує її від велетенського ведмедя; сцени немає в гл. 1–238, але за правилом реальної дати вона належить саме сюди. • A [еп. 37] — Команда 7 здобуває потрібний сувій і наближається до вежі. • A [Shippūden еп. 117; ретроспектива] — аніме показує спогад Карін про цю зустріч і порятунок Саске під час другого етапу іспиту.	
0	06.07		M [arc 02, Chunin Exams] — Kabuto joins Team 7 and guides them toward the tower; Team Oboro traps them in genjutsu and attacks with clones, but Naruto exhausts the real attackers with continuous shadow clones; Team 7 obtains the required scroll and reaches the tower before the deadline; Kabuto secretly rejoins his Sound teammates; seven teams pass, forcing immediate preliminaries. • M — Preliminary results: Sasuke defeats Yoroi; Shino defeats Zaku; Kankuro defeats Misumi; Sakura and Ino knock each other out; Temari defeats Tenten; Shikamaru defeats Kin; Naruto defeats Kiba; Neji critically injures Hinata; Gaara cripples Lee; Dosu defeats Choji. Kakashi seals Sasuke's curse mark and confronts Orochimaru; the finalists draw their matchups for 01.08; Kakashi assigns Ebisu to Naruto. Hayate later overhears Kabuto and Baki discussing the invasion and is killed by Baki. • A [еп. 37–51] — завершення Лісу Смерті та всі десять попередніх поєдинків.	
0	07.07		arc 02 [Chunin Exams] — Naruto begins training with Ebisu and practices water walking; Jiraiya knocks out Ebisu, removes Orochimaru's Five Elements Seal, and takes over Naruto's training; Naruto's chakra control returns; Jiraiya begins teaching him the Summoning Technique and intends to make him access the Nine-Tails' chakra; the other finalists begin separate preparation for the finals. | A [еп. 52–53] — початок місячної підготовки; Ебісу тренує Наруто, після чого з’являється Джирая. • F [Shippūden еп. 390; ретроспектива] — Ханабі відвідує поранену після бою з Неджі Хінату; на запитання, чому вона не здалася, Хіната пояснює власний шлях ніндзя.	
0	08.07			
0	09.07			
0	10.07			
0	11.07			
0	12.07			
0	13.07			
0	14.07			
0	15.07			
0	16.07			
0	17.07			
0	18.07			
0	19.07			
0	20.07			
0	21.07			
0	22.07		arc 02 [Chunin Exams] — Fifteen days into the training period, Kakashi begins intensive private training with Sasuke, developing his speed and teaching him Chidori; Naruto continues summoning practice with Jiraiya but can summon only tadpoles and small toads. | A [еп. 54–57] — тренування Наруто з призовом і робота Какаші із Саске.	
0	23.07			
0	24.07			
0	25.07			
0	26.07			
0	27.07		arc 02 [Chunin Exams] — Baki meets Orochimaru disguised as the Fourth Kazekage and confirms the final arrangements for the invasion; Naruto still cannot summon a combat-capable toad. | A [еп. 67–68] — змовники уточнюють план вторгнення Конохи.	
0	28.07		arc 02 [Chunin Exams] — Twenty-one days into training, Jiraiya throws Naruto into a ravine to force a life-or-death response; Naruto consciously meets Kurama for the first time, demands chakra as payment for their shared survival, and summons Gamabunta; Naruto remains on Gamabunta until the toad accepts him, then collapses. | A [еп. 56–58] — Джирая змушує Наруто звернутися до чакри Дев’ятихвостого й укласти контракт із Ґамабунтою.	
0	29.07			
0	30.07			
0	31.07		M [гл. 92–93; реконструйовано в останні дні підготовки] — Досу вистежує Ґаару на даху, плануючи усунути його перед фіналом, але Ґаара вбиває його; це не сталося в ніч одразу після попередніх боїв. • M [гл. 96–97] — уночі Ґаара приходить до лікарняної палати Лі, щоб убити його; Наруто й Шікамару стають на заваді, Ґаара розповідає про дитинство, Яшамару та походження знака «любов», а Ґай зупиняє сутичку. • M [arc 02] — Naruto wakes in Konoha Hospital after three days unconscious; he visits Lee, learns the damage may end Lee's ninja career, and heads out to prepare; Sasuke remains absent with Kakashi. • A [еп. 59–60] — завершення підготовки й прибуття учасників на фінали. • F [Shippūden еп. 170–171; ретроспектива] — Наруто, Сакура й Команда 10 проходять смугу пасток на полі Хонегамі в пошуках «спадщини Четвертого Хокаґе»; замаскований Ґай перевіряє їх, ніндзя Дощу нападають, Саске таємно допомагає, а сувій нагадує, що в шляху ніндзя немає коротких доріг.	
0	01.08		M [гл. 98] — дорогою на фінали Наруто зустрічає Хінату на тренувальному полі й зізнається, що боїться програти Неджі; вона називає його «гордим невдахою», який щоразу підводиться, і повертає йому впевненість. • M [arc 02, Chunin Exams] — Naruto defeats Neji after reopening his sealed chakra with Nine-Tails power and striking from underground; Neji learns the truth of his father's willing sacrifice; Shikamaru traps Temari but forfeits; Kakashi and Sasuke arrive late; Sasuke pierces Gaara's sand sphere with Chidori. • M [arc 03, Konoha Crush] — Kabuto casts a mass sleep genjutsu; Sand and Sound attack; Orochimaru traps Hiruzen and summons the First and Second Hokage; Hiruzen sacrifices himself to seal Orochimaru's arms; Sasuke pursues Gaara; Naruto summons Gamabunta, defeats Gaara and changes his outlook; the invasion fails. • A [еп. 61–79] — фінальні бої іспиту, вторгнення Суни й Звуку, смерть Хірузена та перемога Наруто над Ґаарою. • F [Shippūden еп. 192; ретроспектива] — під час вторгнення ворожі ніндзя викрадають Хінату; Неджі, Тентен, Кіба й Акамару переслідують їх, а Хіаші допомагає визволити доньку й відкриває Неджі правду про любов Хізаші. • F [Shippūden еп. 239; ретроспектива] — Іноїчі, Шікаку й Чодза діють як доросла трійця Іно–Шіка–Чо та рятують Косуке під час нападу. • F [Shippūden еп. 390; ретроспектива] — Ханабі разом із Хіаші дивиться фінал і бачить перемогу Наруто над Неджі.	
0	02.08		arc 03 [Konoha Crush] — Konoha treats the wounded, counts its dead, and begins rebuilding; the Fire Daimyo and village leadership hold an emergency meeting about Hiruzen's death and the vacant Hokage office; Jiraiya refuses the position and proposes Tsunade as Fifth Hokage. | A [еп. 79–80] — порятунок поранених, відступ нападників і початок відбудови.	
0	03.08		arc 03 [Konoha Crush] — Konoha holds Hiruzen's funeral; Iruka explains the Will of Fire to Konohamaru; the village continues reconstruction. • arc 04 [Search for Tsunade] — Jiraiya takes Naruto out of Konoha to find Tsunade and train him; Itachi and Kisame infiltrate Konoha seeking Naruto; Asuma and Kurenai engage them, Kakashi intervenes, and Itachi incapacitates Kakashi with Tsukuyomi before Guy drives the pair away; Sasuke learns Itachi is after Naruto and pursues them; Itachi and Kisame corner Naruto at an inn; Sasuke attacks Itachi with Chidori but is effortlessly defeated and forced to relive the Uchiha massacre through Tsukuyomi; Jiraiya traps the Akatsuki pair inside a toad's stomach, but Itachi escapes with Amaterasu; Sasuke and Kakashi are left comatose; Naruto and Jiraiya continue the search and reach Shukuba Town. | A [еп. 80–85] — похорон Третього Хокаґе, прибуття Ітачі й Кісаме, сутички з Асумою, Куренай, Какаші та Саске.	
0	04.08		F [Shippūden еп. 237; ретроспектива] — після іспиту Ґай підбадьорює Тентен, яка сумнівається у власних здібностях; вона відмовляється від наслідування Цунаде й утверджує власний шлях майстрині ніндзя-знарядь. • F [Shippūden еп. 390; ретроспектива, приблизне вікно] — Ханабі бачить, як Хіната після поразки продовжує тренуватися разом із Неджі, й помічає її нову впевненість.	
0	05.08			
0	06.08			
0	07.08			
0	08.08			
0	09.08			
0	10.08			
0	11.08			
0	12.08			
0	13.08			
0	14.08			
0	15.08			
0	16.08			
0	17.08			
0	18.08			
0	19.08			
0	20.08			
0	21.08			
0	22.08		arc 04 [Search for Tsunade] — While Jiraiya gathers information on Tsunade, Naruto completes the first Rasengan stage by bursting a water balloon through rotational chakra control; Jiraiya gives him a rubber ball for the harder power stage. | A [еп. 86–90] — Наруто проходить перші етапи формування Расенґана.	
0	23.08			
0	24.08		arc 04 [Search for Tsunade] — Jiraiya notes that three weeks have passed since the encounter with Itachi; Naruto continues the Rasengan power stage and learns to focus chakra through a marked point in his palm. | A [еп. 91] — пошуки Цунаде та початок останнього етапу тренування.	
0	25.08		arc 04 [Search for Tsunade] — Orochimaru and Kabuto reach Tanzaku Town and find Tsunade; Orochimaru offers to resurrect Nawaki and Dan if she heals his sealed arms, giving her one week to decide; Naruto completes the second Rasengan stage by bursting the rubber ball; Naruto and Jiraiya locate Tsunade; Jiraiya offers her the Fifth Hokage position, which she rejects while insulting the Hokage title; Naruto attacks her with an incomplete Rasengan; Tsunade stops him with one finger and wagers her First Hokage necklace that he cannot master Rasengan within one week. | A [еп. 92–93] — Орочімару пропонує воскресити Нава́кі й Дана в обмін на зцілення рук; Цунаде вагається.	
0	26.08		arc 04 [Search for Tsunade] — Naruto begins the final Rasengan stage, trying to combine rotation, power, and containment; Tsunade weighs Orochimaru's offer; Shizune explains to Naruto how Tsunade lost Nawaki and Dan and developed her fear of blood. | A [еп. 94] — Наруто намагається поєднати обертання, силу й утримання чакри в завершений Расенґан.	
0	27.08			
0	28.08			
0	29.08			
0	30.08			
0	31.08		arc 04 [Search for Tsunade] — On the final night of the wager Naruto appears unable to complete Rasengan; Tsunade drugs Jiraiya to prevent interference and leaves to meet Orochimaru; Shizune reveals the deal and leads Jiraiya and Naruto after her. | A [еп. 94–95] — спливає строк парі Наруто й Цунаде; сторони готуються до зустрічі з Орочімару.	
0	01.09		arc 04 [Search for Tsunade] — Tsunade pretends to accept Orochimaru's terms but attempts to kill him instead of healing him; Kabuto exposes the deception and exploits her fear of blood; Shizune, Jiraiya, and Naruto arrive; Kabuto defeats Shizune and fights Tsunade; Naruto protects Tsunade, traps Kabuto's hand with a shadow clone, and completes Rasengan by using a clone to stabilize it, critically striking Kabuto; Tsunade overcomes her fear, activates Creation Rebirth, and protects Naruto; Jiraiya, Tsunade, and Orochimaru summon Gamabunta, Katsuyu, and Manda in the Sannin deadlock; Tsunade defeats Orochimaru, who retreats with Kabuto; Tsunade gives Naruto the First Hokage's necklace, acknowledges him as a future Hokage, and accepts the office of Fifth Hokage. | A [еп. 95–98] — бій трьох саннінів, перший успішний Расенґан Наруто й рішення Цунаде стати П’ятою Хокаґе.	
0	02.09		M [arc 04, Search for Tsunade] — Naruto recovers after Tsunade repairs Kabuto's damage; Tsunade, Shizune, Jiraiya, and Naruto return to Konoha; Tsunade assumes office as Fifth Hokage, heals Kakashi and Sasuke from Tsukuyomi, examines Lee's injuries, and warns that surgery has only a fifty-percent chance of success; Shikamaru is promoted to chunin. • A [еп. 98–100] — повернення до Конохи, лікування Какаші й Саске, діагноз Лі та вступ Цунаде на посаду. • F [еп. 97] — дорогою до Конохи група зупиняється біля гарячих джерел; кредитори викрадають Наруто через борги Цунаде, але план провалюється. • F [еп. 99] — Конохамару не приймає заміну діда, барикадує кабінет Хокаґе й намагається зірвати вступ Цунаде на посаду; Наруто допомагає йому прийняти втрату та зміни.	
0	03.09		F [еп. 101] — Наруто, Саске й Сакура намагаються побачити обличчя Какаші під маскою; стежать за ним, влаштовують пастки й зривають його зустріч із трійцею Моя, але Какаші весь день переграє команду та показує під першою маскою другу. • F/ALT [Shippūden еп. 469; суперечлива ретроспектива] — Команди 7, 8, 10 і Ґая за допомогою фотографа Скеа знову полюють за обличчям Какаші, проникають до сховища секретних документів і пробують інсценувати порятунок; Скеа насправді є замаскованим Какаші. Присутність Хірузена й згадка попередньої спроби несумісні в одній безперервності, тому подію позначено ALT.	
0	04.09		F [еп. 102–103, місія супроводу в Країні Чаю] — Ібікі Моріно доручає Команді 7 охороняти Ідате Моріно під час перегонів Тодарокі; Аої отруює Ідате й кидає Наруто в море. • O [OVA «Mission: Protect the Waterfall Village!»; між еп. 101 і 102] — Команда 7 отримує C-ранговий супровід Шібукі до Такіґакуре; після прибуття з’ясовується, що нукеніни на чолі із Суїєном готують напад заради Води Героїв. • N/ALT [новела «Mission: Protect the Waterfall Village!»] — починається окрема прозова версія тієї самої місії; її відмінні сцени не змішуються з OVA.	
0	05.09		F [еп. 103–104] — команда рятує Ідате, дістається острова Нагі й дізнається про зраду Аої та викрадення Меча Бога Грому. • O [Waterfall Village] — нападники захоплюють мешканців; Шібукі паралізує страх, а Суїєн прагне випити Воду Героїв, що різко підсилює чакру ціною життєвої сили. • N/ALT [Waterfall Village, новела] — паралельна версія облоги з іншим набором і послідовністю сцен.	
0	06.09		F [еп. 104–105] — Саске затримує Аої, а Наруто пошкоджує Меч Бога Грому Расенґаном. • O [Waterfall Village] — Наруто й Саске чинять опір Суїєну; приклад Наруто повертає Шібукі мужність, і той очолює захист села; напад відбито, а Воду Героїв не віддають загарбникам. • N/ALT [Waterfall Village, новела] — завершується відмінна новельна розв’язка; це не друга канонічна місія.	
0	07.09		F [еп. 105–106] — Наруто остаточно ламає Меч Бога Грому й перемагає Аої; Ідате долає останній відрізок маршруту, першим прибуває до святині Модорокі та приносить перемогу Васабі; бос Джірочо припиняє ворожнечу, а Ідате відновлює віру в шинобі та примиряється з Ібікі.	
0	08.09		F [еп. 106, завершення] — Команда 7 завершує місію в Країні Чаю й повертається до Конохи; пережите посилює суперництво Саске з Наруто перед їхньою сутичкою на даху лікарні.	
0	09.09		O/ALT [OVA «Hidden Leaf Village Grand Sports Festival!»] — команди Конохи змагаються за тиждень відпочинку від місій, а Наруто весь турнір безуспішно намагається дістатися туалету; поява загиблих і ворожих персонажів робить спецвипуск свідомо геговою позаконтинуальною версією. • G/ALT [Naruto: Ultimate Ninja 2] — після подій пошуку Цунаде починається ігрова гілка про спеціальну печать Орочімару та нову загрозу Конохі.	
0	10.09		O/ALT [OVA «Naruto, the Genie, and the Three Wishes, Believe It!»] — до втечі Саске Наруто та інші геніни змагаються за пляшку з джином і три бажання; короткий геговий сюжет має суперечливі появи персонажів і не зводиться з основною лінією буквально. • G/ALT [Ultimate Ninja 2] — Орочімару й Кабуто використовують створену для гри печать, провокуючи серію боїв із союзниками та колишніми ворогами.	
0	11.09		G/ALT [Ultimate Ninja 2] — Наруто та союзники зривають ігровий план Орочімару; оригінальна арка завершується без наслідків для манґа-канону.	
